Timestamp,DNI,DHI,GHI,ENTRY_TIME
2023-07-19 05:30:00+05:30,0.0,0.0,0.0,2023-07-21 11:12
2023-07-19 05:45:00+05:30,0.0,0.2,0.2,2023-07-21 11:13
2023-07-19 06:00:00+05:30,0.57,6.36,6.4,2023-07-21 11:15
2023-07-19 06:15:00+05:30,3.31,26.79,27.2,2023-07-21 11:16
2023-07-19 06:30:00+05:30,10.4,59.16,61.0,2023-07-21 11:18
2023-07-19 06:45:00+05:30,36.17,94.25,102.6,2023-07-21 11:19
2023-07-19 07:00:00+05:30,78.46,125.68,148.0,2023-07-21 11:20
2023-07-19 07:15:00+05:30,132.73,152.11,196.9,2023-07-21 11:22
2023-07-19 07:30:00+05:30,203.67,171.93,251.3,2023-07-21 11:23
2023-07-19 07:45:00+05:30,256.15,188.02,301.0,2023-07-21 11:24
2023-07-19 08:00:00+05:30,314.94,198.99,353.7,2023-07-21 11:26
2023-07-19 08:15:00+05:30,352.96,210.39,401.0,2023-07-21 11:27
2023-07-19 08:30:00+05:30,432.64,207.94,462.0,2023-07-21 11:28
2023-07-19 08:45:00+05:30,467.79,213.55,509.5,2023-07-21 11:30
2023-07-19 09:00:00+05:30,501.45,217.27,556.3,2023-07-21 11:31
2023-07-19 09:15:00+05:30,530.35,220.44,600.9,2023-07-21 11:33
2023-07-19 09:30:00+05:30,545.1,226.94,639.2,2023-07-21 11:34
2023-07-19 09:45:00+05:30,565.46,229.96,678.2,2023-07-21 11:35
2023-07-19 10:00:00+05:30,565.54,239.71,707.1,2023-07-21 11:37
2023-07-19 10:15:00+05:30,572.04,245.95,736.4,2023-07-21 11:38
2023-07-19 10:30:00+05:30,587.47,247.28,767.4,2023-07-21 11:39
2023-07-19 10:45:00+05:30,573.05,260.67,782.3,2023-07-21 11:41
2023-07-19 11:00:00+05:30,574.56,266.2,801.7,2023-07-21 11:42
2023-07-19 11:15:00+05:30,596.85,261.1,828.4,2023-07-21 11:43
2023-07-19 11:30:00+05:30,565.62,280.04,826.2,2023-07-21 11:45
2023-07-19 11:45:00+05:30,584.84,274.23,845.8,2023-07-21 11:46
2023-07-19 12:00:00+05:30,594.49,271.88,857.8,2023-07-21 11:47
2023-07-19 12:15:00+05:30,523.17,307.79,825.9,2023-07-21 11:48
2023-07-19 12:30:00+05:30,470.42,333.44,799.9,2023-07-21 11:50
2023-07-19 12:45:00+05:30,469.53,333.1,797.6,2023-07-21 11:51
2023-07-19 13:00:00+05:30,107.05,441.82,547.1,2023-07-21 11:53
2023-07-19 13:15:00+05:30,105.23,437.39,539.9,2023-07-21 11:54
2023-07-19 13:30:00+05:30,45.9,403.87,448.0,2023-07-21 11:55
2023-07-19 13:45:00+05:30,1.33,131.04,132.3,2023-07-21 11:57
2023-07-19 14:00:00+05:30,40.68,383.43,421.1,2023-07-21 11:58
2023-07-19 14:15:00+05:30,4.08,217.41,221.1,2023-07-21 11:59
2023-07-19 14:30:00+05:30,4.03,209.87,213.4,2023-07-21 12:00
2023-07-19 14:45:00+05:30,5.42,234.9,239.5,2023-07-21 12:02
2023-07-19 15:00:00+05:30,2.68,159.81,162.0,2023-07-21 12:03
2023-07-19 15:15:00+05:30,2.62,151.35,153.4,2023-07-21 12:04
2023-07-19 15:30:00+05:30,91.57,332.38,400.6,2023-07-21 12:06
2023-07-19 15:45:00+05:30,61.32,305.35,348.6,2023-07-21 12:07
2023-07-19 16:00:00+05:30,3.46,147.21,149.5,2023-07-21 12:09
2023-07-19 16:15:00+05:30,9.06,200.69,206.3,2023-07-21 12:10
2023-07-19 16:30:00+05:30,32.48,230.68,249.3,2023-07-21 12:11
2023-07-19 16:45:00+05:30,2.94,107.65,109.2,2023-07-21 12:13
2023-07-19 17:00:00+05:30,14.29,168.89,175.7,2023-07-21 12:14
2023-07-19 17:15:00+05:30,11.29,144.49,149.3,2023-07-21 12:15
2023-07-19 17:30:00+05:30,1.48,54.65,55.2,2023-07-21 12:16
2023-07-19 17:45:00+05:30,3.25,69.16,70.2,2023-07-21 12:18
2023-07-19 18:00:00+05:30,1.42,38.32,38.7,2023-07-21 12:19
2023-07-19 18:15:00+05:30,1.35,29.91,30.2,2023-07-21 12:20
2023-07-19 18:30:00+05:30,0.76,16.88,17.0,2023-07-21 12:21
2023-07-19 18:45:00+05:30,0.19,5.68,5.7,2023-07-21 12:23
2023-07-19 19:00:00+05:30,0.01,0.8,0.8,2023-07-21 12:24
2023-07-19 19:15:00+05:30,0.0,0.0,0.0,2023-07-21 12:25
2023-07-19 19:30:00+05:30,0.0,0.0,0.0,2023-07-21 12:27
2023-07-19 19:45:00+05:30,0.0,0.0,0.0,2023-07-21 12:28
2023-07-19 20:00:00+05:30,0.0,0.0,0.0,2023-07-21 12:29
2023-07-19 20:15:00+05:30,0.0,0.0,0.0,2023-07-21 12:31
2023-07-19 20:30:00+05:30,0.0,0.0,0.0,2023-07-21 12:32
2023-07-19 20:45:00+05:30,0.0,0.0,0.0,2023-07-21 12:34
2023-07-19 21:00:00+05:30,0.0,0.0,0.0,2023-07-21 12:35
2023-07-19 21:15:00+05:30,0.0,0.0,0.0,2023-07-21 12:36
2023-07-19 21:30:00+05:30,0.0,0.0,0.0,2023-07-21 12:37
2023-07-19 21:45:00+05:30,0.0,0.0,0.0,2023-07-21 12:39
2023-07-19 22:00:00+05:30,0.0,0.0,0.0,2023-07-21 12:40
2023-07-19 22:15:00+05:30,0.0,0.0,0.0,2023-07-21 12:41
2023-07-19 22:30:00+05:30,0.0,0.0,0.0,2023-07-21 12:43
2023-07-19 22:45:00+05:30,0.0,0.0,0.0,2023-07-21 12:44
2023-07-19 23:00:00+05:30,0.0,0.0,0.0,2023-07-21 12:45
2023-07-19 23:15:00+05:30,0.0,0.0,0.0,2023-07-21 12:47
2023-07-19 23:30:00+05:30,0.0,0.0,0.0,2023-07-21 12:48
2023-07-19 23:45:00+05:30,0.0,0.0,0.0,2023-07-21 12:49
2023-07-20 00:00:00+05:30,0.0,0.0,0.0,2023-07-21 12:51
2023-07-20 00:15:00+05:30,0.0,0.0,0.0,2023-07-21 12:52
2023-07-20 00:30:00+05:30,0.0,0.0,0.0,2023-07-21 12:53
2023-07-20 00:45:00+05:30,0.0,0.0,0.0,2023-07-21 12:54
2023-07-20 01:00:00+05:30,0.0,0.0,0.0,2023-07-21 12:56
2023-07-20 01:15:00+05:30,0.0,0.0,0.0,2023-07-21 12:57
2023-07-20 01:30:00+05:30,0.0,0.0,0.0,2023-07-21 12:58
2023-07-20 01:45:00+05:30,0.0,0.0,0.0,2023-07-21 13:00
2023-07-20 02:00:00+05:30,0.0,0.0,0.0,2023-07-21 13:01
2023-07-20 02:15:00+05:30,0.0,0.0,0.0,2023-07-21 13:02
2023-07-20 02:30:00+05:30,0.0,0.0,0.0,2023-07-21 13:04
2023-07-20 02:45:00+05:30,0.0,0.0,0.0,2023-07-21 13:05
2023-07-20 03:00:00+05:30,0.0,0.0,0.0,2023-07-21 13:07
2023-07-20 03:15:00+05:30,0.0,0.0,0.0,2023-07-21 13:08
2023-07-20 03:30:00+05:30,0.0,0.0,0.0,2023-07-21 13:09
2023-07-20 03:45:00+05:30,0.0,0.0,0.0,2023-07-21 13:10
2023-07-20 04:00:00+05:30,0.0,0.0,0.0,2023-07-21 13:12
2023-07-20 04:15:00+05:30,0.0,0.0,0.0,2023-07-21 13:13
2023-07-20 04:30:00+05:30,0.0,0.0,0.0,2023-07-21 13:14
2023-07-20 04:45:00+05:30,0.0,0.0,0.0,2023-07-21 13:16
2023-07-20 05:00:00+05:30,0.0,0.0,0.0,2023-07-21 13:17
2023-07-20 05:15:00+05:30,0.0,0.0,0.0,2023-07-21 13:18
2023-07-20 05:30:00+05:30,0.0,0.0,0.0,2023-07-21 13:19
2023-07-20 05:45:00+05:30,0.0,0.1,0.1,2023-07-21 13:21
2023-07-20 06:00:00+05:30,0.47,5.77,5.8,2023-07-21 13:22
2023-07-20 06:15:00+05:30,3.13,25.72,26.1,2023-07-21 13:24
2023-07-20 06:30:00+05:30,9.0,56.82,58.4,2023-07-21 13:25
2023-07-20 06:45:00+05:30,29.84,91.25,98.1,2023-07-21 13:26
2023-07-20 07:00:00+05:30,61.2,122.48,139.8,2023-07-21 13:27
2023-07-20 07:15:00+05:30,108.29,151.02,187.4,2023-07-21 13:29
2023-07-20 07:30:00+05:30,159.63,174.41,236.4,2023-07-21 13:30
2023-07-20 07:45:00+05:30,205.19,193.87,284.1,2023-07-21 13:31
2023-07-20 08:00:00+05:30,246.78,210.38,331.3,2023-07-21 13:33
2023-07-20 08:15:00+05:30,301.87,221.04,383.7,2023-07-21 13:34
2023-07-20 08:30:00+05:30,392.89,218.21,448.5,2023-07-21 13:35
2023-07-20 08:45:00+05:30,478.99,209.86,512.4,2023-07-21 13:36
2023-07-20 09:00:00+05:30,531.63,207.09,566.0,2023-07-21 13:38
2023-07-20 09:15:00+05:30,538.87,217.23,603.3,2023-07-21 13:39
2023-07-20 09:30:00+05:30,549.18,225.23,640.1,2023-07-21 13:41
2023-07-20 09:45:00+05:30,596.48,217.75,690.1,2023-07-21 13:42
2023-07-20 10:00:00+05:30,564.79,239.86,706.2,2023-07-21 13:44
2023-07-20 10:15:00+05:30,589.3,238.57,743.4,2023-07-21 13:45
2023-07-20 10:30:00+05:30,625.21,230.88,784.0,2023-07-21 13:46
2023-07-20 10:45:00+05:30,482.9,300.53,739.8,2023-07-21 13:48
2023-07-20 11:00:00+05:30,383.79,350.53,708.0,2023-07-21 13:49
2023-07-20 11:15:00+05:30,255.76,405.14,648.1,2023-07-21 13:50
2023-07-20 11:30:00+05:30,292.9,399.12,681.8,2023-07-21 13:51
2023-07-20 11:45:00+05:30,160.16,438.65,595.1,2023-07-21 13:53
2023-07-20 12:00:00+05:30,85.9,437.98,522.6,2023-07-21 13:54
2023-07-20 12:15:00+05:30,205.02,436.45,639.4,2023-07-21 13:55
2023-07-20 12:30:00+05:30,468.79,334.15,798.8,2023-07-21 13:57
2023-07-20 12:45:00+05:30,527.96,305.1,827.2,2023-07-21 13:58
2023-07-20 13:00:00+05:30,412.26,357.41,762.7,2023-07-21 13:59
2023-07-20 13:15:00+05:30,276.57,408.47,677.8,2023-07-21 14:01
2023-07-20 13:30:00+05:30,26.3,375.63,400.9,2023-07-21 14:02
2023-07-20 14:15:00+05:30,14.44,320.77,333.8,2023-07-21 14:04
2023-07-20 14:30:00+05:30,13.97,309.75,322.0,2023-07-21 14:05
2023-07-20 14:45:00+05:30,5.42,234.7,239.3,2023-07-21 14:06
2023-07-20 15:00:00+05:30,21.68,310.0,327.7,2023-07-21 14:07
2023-07-20 15:15:00+05:30,76.51,344.79,404.6,2023-07-21 14:09
2023-07-20 15:30:00+05:30,71.87,326.8,380.3,2023-07-21 14:10
2023-07-20 15:45:00+05:30,66.65,307.43,354.4,2023-07-21 14:11
2023-07-20 16:00:00+05:30,159.6,297.63,403.4,2023-07-21 14:13
2023-07-20 16:15:00+05:30,108.41,278.04,345.1,2023-07-21 14:14
2023-07-20 16:30:00+05:30,95.91,256.09,311.0,2023-07-21 14:15
2023-07-20 16:45:00+05:30,82.37,232.68,275.9,2023-07-21 14:17
2023-07-20 17:00:00+05:30,48.47,200.95,224.0,2023-07-21 14:18
2023-07-20 17:15:00+05:30,53.13,181.33,203.9,2023-07-21 14:19
2023-07-20 17:30:00+05:30,38.25,153.33,167.6,2023-07-21 14:21
2023-07-20 17:45:00+05:30,17.27,117.37,122.9,2023-07-21 14:22
2023-07-20 18:00:00+05:30,9.75,88.0,90.6,2023-07-21 14:23
2023-07-20 18:15:00+05:30,5.45,59.24,60.4,2023-07-21 14:25
2023-07-20 18:30:00+05:30,2.62,30.88,31.3,2023-07-21 14:26
2023-07-20 18:45:00+05:30,0.91,12.1,12.2,2023-07-21 14:27
2023-07-20 19:00:00+05:30,0.04,1.7,1.7,2023-07-21 14:29
2023-07-20 19:15:00+05:30,0.0,0.0,0.0,2023-07-21 14:30
2023-07-20 19:30:00+05:30,0.0,0.0,0.0,2023-07-21 14:32
2023-07-20 19:45:00+05:30,0.0,0.0,0.0,2023-07-21 14:33
2023-07-20 20:00:00+05:30,0.0,0.0,0.0,2023-07-21 14:34
2023-07-20 20:15:00+05:30,0.0,0.0,0.0,2023-07-21 14:36
2023-07-20 20:30:00+05:30,0.0,0.0,0.0,2023-07-21 14:38
2023-07-20 20:45:00+05:30,0.0,0.0,0.0,2023-07-21 14:39
2023-07-20 21:00:00+05:30,0.0,0.0,0.0,2023-07-21 14:40
2023-07-20 21:15:00+05:30,0.0,0.0,0.0,2023-07-21 14:41
2023-07-20 21:30:00+05:30,0.0,0.0,0.0,2023-07-21 14:43
2023-07-20 21:45:00+05:30,0.0,0.0,0.0,2023-07-21 14:44
2023-07-20 22:00:00+05:30,0.0,0.0,0.0,2023-07-21 14:45
2023-07-20 22:15:00+05:30,0.0,0.0,0.0,2023-07-21 14:47
2023-07-20 22:30:00+05:30,0.0,0.0,0.0,2023-07-21 14:48
2023-07-20 22:45:00+05:30,0.0,0.0,0.0,2023-07-21 14:50
2023-07-20 23:00:00+05:30,0.0,0.0,0.0,2023-07-21 14:51
2023-07-20 23:15:00+05:30,0.0,0.0,0.0,2023-07-21 14:53
2023-07-20 23:30:00+05:30,0.0,0.0,0.0,2023-07-21 14:54
2023-07-20 23:45:00+05:30,0.0,0.0,0.0,2023-07-21 14:56
2023-07-21 00:00:00+05:30,0.0,0.0,0.0,2023-07-21 14:57
2023-07-21 00:15:00+05:30,0.0,0.0,0.0,2023-07-21 14:59
2023-07-21 00:30:00+05:30,0.0,0.0,0.0,2023-07-21 15:01
2023-07-21 00:45:00+05:30,0.0,0.0,0.0,2023-07-21 15:02
2023-07-21 01:00:00+05:30,0.0,0.0,0.0,2023-07-21 15:04
2023-07-21 01:15:00+05:30,0.0,0.0,0.0,2023-07-21 15:05
2023-07-21 01:30:00+05:30,0.0,0.0,0.0,2023-07-21 15:06
2023-07-21 01:45:00+05:30,0.0,0.0,0.0,2023-07-21 15:08
2023-07-21 02:00:00+05:30,0.0,0.0,0.0,2023-07-21 15:09
2023-07-21 02:15:00+05:30,0.0,0.0,0.0,2023-07-21 15:11
2023-07-21 02:30:00+05:30,0.0,0.0,0.0,2023-07-21 15:12
2023-07-21 02:45:00+05:30,0.0,0.0,0.0,2023-07-21 15:14
2023-07-21 03:00:00+05:30,0.0,0.0,0.0,2023-07-21 15:15
2023-07-21 03:15:00+05:30,0.0,0.0,0.0,2023-07-21 15:17
2023-07-21 03:30:00+05:30,0.0,0.0,0.0,2023-07-21 15:18
2023-07-21 03:45:00+05:30,0.0,0.0,0.0,2023-07-21 15:20
2023-07-21 04:00:00+05:30,0.0,0.0,0.0,2023-07-21 15:21
2023-07-21 04:15:00+05:30,0.0,0.0,0.0,2023-07-21 11:17
2023-07-21 15:15:00+05:30,1.21,103.35,104.3,2023-07-21 20:38:00
2023-07-21 15:30:00+05:30,1.18,97.22,98.1,2023-07-21 20:39:00
2023-07-21 15:45:00+05:30,1.15,90.59,91.4,2023-07-21 20:41:00
2023-07-21 16:00:00+05:30,1.1,83.57,84.3,2023-07-21 20:42:00
2023-07-21 16:15:00+05:30,1.06,76.35,77.0,2023-07-21 20:44:00
2023-07-21 16:30:00+05:30,1.0,68.83,69.4,2023-07-21 20:46:00
2023-07-21 16:45:00+05:30,0.94,61.01,61.5,2023-07-21 20:47:00
2023-07-21 17:00:00+05:30,0.87,53.09,53.5,2023-07-21 20:49:00
2023-07-21 17:15:00+05:30,0.78,45.07,45.4,2023-07-21 20:50:00
2023-07-21 17:30:00+05:30,0.68,37.05,37.3,2023-07-21 20:52:00
2023-07-21 17:45:00+05:30,0.57,29.12,29.3,2023-07-21 20:53:00
2023-07-21 18:00:00+05:30,0.44,21.38,21.5,2023-07-21 20:54:00
2023-07-21 18:15:00+05:30,0.31,14.23,14.3,2023-07-21 20:56:00
2023-07-21 18:30:00+05:30,1.65,24.34,24.6,2023-07-21 18:54
2023-07-21 18:45:00+05:30,0.06,2.99,3.0,2023-07-21 20:59:00
2023-07-21 19:00:00+05:30,0.0,0.4,0.4,2023-07-21 19:18
2023-07-21 19:15:00+05:30,0.0,0.0,0.0,2023-07-21 19:36
2023-07-21 19:30:00+05:30,0.0,0.0,0.0,2023-07-21 19:42
2023-07-21 19:45:00+05:30,0.0,0.0,0.0,2023-07-21 20:06
2023-07-21 20:00:00+05:30,0.0,0.0,0.0,2023-07-21 20:12
2023-07-21 20:15:00+05:30,0.0,0.0,0.0,2023-07-21 20:36
2023-07-21 20:30:00+05:30,0.0,0.0,0.0,2023-07-21 20:42
2023-07-21 20:45:00+05:30,0.0,0.0,0.0,2023-07-21 21:06
2023-07-21 21:00:00+05:30,0.0,0.0,0.0,2023-07-21 21:12
2023-07-21 21:15:00+05:30,0.0,0.0,0.0,2023-07-21 21:36
2023-07-21 21:30:00+05:30,0.0,0.0,0.0,2023-07-21 21:42
2023-07-21 21:45:00+05:30,0.0,0.0,0.0,2023-07-21 22:06
2023-07-21 22:00:00+05:30,0.0,0.0,0.0,2023-07-21 22:12
2023-07-21 22:15:00+05:30,0.0,0.0,0.0,2023-07-21 22:36
2023-07-21 22:30:00+05:30,0.0,0.0,0.0,2023-07-21 22:42
2023-07-21 22:45:00+05:30,0.0,0.0,0.0,2023-07-21 23:06
2023-07-21 23:00:00+05:30,0.0,0.0,0.0,2023-07-21 23:12
2023-07-21 23:15:00+05:30,0.0,0.0,0.0,2023-07-21 23:36
2023-07-21 23:30:00+05:30,0.0,0.0,0.0,2023-07-21 23:42
2023-07-21 23:45:00+05:30,0.0,0.0,0.0,2023-07-22 00:06
2023-07-22 00:00:00+05:30,0.0,0.0,0.0,2023-07-22 00:12
2023-07-22 00:15:00+05:30,0.0,0.0,0.0,2023-07-22 00:36
2023-07-22 00:30:00+05:30,0.0,0.0,0.0,2023-07-22 00:42
2023-07-22 00:45:00+05:30,0.0,0.0,0.0,2023-07-22 01:06
2023-07-22 01:00:00+05:30,0.0,0.0,0.0,2023-07-22 01:12
2023-07-22 01:15:00+05:30,0.0,0.0,0.0,2023-07-22 01:36
2023-07-22 01:30:00+05:30,0.0,0.0,0.0,2023-07-22 01:42
2023-07-22 01:45:00+05:30,0.0,0.0,0.0,2023-07-22 02:06
2023-07-22 02:00:00+05:30,0.0,0.0,0.0,2023-07-22 02:12
2023-07-22 02:15:00+05:30,0.0,0.0,0.0,2023-07-22 02:36
2023-07-22 02:30:00+05:30,0.0,0.0,0.0,2023-07-22 02:42
2023-07-22 02:45:00+05:30,0.0,0.0,0.0,2023-07-22 03:06
2023-07-22 03:00:00+05:30,0.0,0.0,0.0,2023-07-22 03:12
2023-07-22 03:15:00+05:30,0.0,0.0,0.0,2023-07-22 03:36
2023-07-22 03:30:00+05:30,0.0,0.0,0.0,2023-07-22 03:42
2023-07-22 03:45:00+05:30,0.0,0.0,0.0,2023-07-22 04:06
2023-07-22 04:00:00+05:30,0.0,0.0,0.0,2023-07-22 04:12
2023-07-22 04:15:00+05:30,0.0,0.0,0.0,2023-07-22 04:36
2023-07-22 04:30:00+05:30,0.0,0.0,0.0,2023-07-22 04:42
2023-07-22 04:45:00+05:30,0.0,0.0,0.0,2023-07-22 05:06
2023-07-22 05:00:00+05:30,0.0,0.0,0.0,2023-07-22 05:12
2023-07-22 05:15:00+05:30,0.0,0.0,0.0,2023-07-22 05:36
2023-07-22 05:30:00+05:30,0.0,0.0,0.0,2023-07-22 05:54
2023-07-22 05:45:00+05:30,0.0,0.0,0.0,2023-07-22 06:06
2023-07-22 06:00:00+05:30,0.01,0.9,0.9,2023-07-22 06:12
2023-07-22 06:15:00+05:30,0.08,4.09,4.1,2023-07-22 06:36
